Revenue_latest,Revenue_mean,Revenue_std,Expenditure_latest,Expenditure_mean,Expenditure_std,Staff_latest,Staff_mean,Staff_std,Profit_latest,Profit_mean,Profit_std,Profit_margin_latest,Profit_margin_mean,Revenue_trend,Expenditure_trend,Staff_trend,Loss_years
0.0,10882500.0,19482861.4855895,0.0,1057500.0,1221430.1726528073,8.0,8.0,0.0,0.0,9825000.0,18741293.9788052,0.948,0.6694674220963173,-5059000.0,-852999.9999999999,0.0,0
0.0,19500.0,39000.0,0.0,17300.0,34600.0,0.0,0.25,0.5,0.0,2200.0,4400.0,0.11282051282051282,0.11282051282051282,-23400.0,-20760.0,-0.29999999999999993,0
0.0,762500.0,1525000.0,0.0,494250.0,988500.0,2.0,2.0,0.0,0.0,268250.0,536500.0,0.35180327868852457,0.35180327868852457,-914999.9999999997,-593099.9999999999,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,,,0.0,0.0,0.5999999999999999,0
29600000.0,26170000.0,3611592.4465531823,25735600.0,22655200.0,3236845.8350684545,1.0,1.0,0.0,3864400.0,3514800.0,393022.84920854156,0.13055405405405404,0.13479072240501427,2515999.999999999,2285159.9999999995,0.0,0
0.0,54000.0,108000.0,0.0,16000.0,32000.0,0.0,0.25,0.5,0.0,38000.0,76000.0,0.7037037037037037,0.7037037037037037,-64799.99999999999,-19199.999999999996,-0.29999999999999993,0
1000000.0,274000.0,486111.09841269825,186000.0,198000.0,16248.07680927192,1.0,1.0,0.0,814000.0,76000.0,492982.75831919315,0.814,-0.24925000000000003,309600.0,1199.9999999999998,0.0,3
175000.0,150000.0,35355.33905932738,367000.0,212500.0,114586.93933719788,1.0,1.0,0.0,-192000.0,-62500.0,88441.12919526374,-1.0971428571428572,-0.35708333333333336,24999.999999999993,86200.0,0.0,3
588000.0,447000.0,108388.19123871383,498000.0,384900.0,91301.91673782101,2.0,2.0,0.0,90000.0,62100.0,24560.9446072418,0.15306122448979592,0.13802756838471125,54000.0,50520.0,0.0,0
0.0,0.0,0.0,127500.0,128750.0,112888.21904875636,0.0,0.0,0.0,-127500.0,-128750.0,112888.21904875636,,,0.0,21999.999999999985,0.0,3
0.0,1512500.0,3025000.0,0.0,1490000.0,2980000.0,1.0,1.0,0.0,0.0,22500.0,45000.0,0.01487603305785124,0.01487603305785124,-1814999.9999999998,-1788000.0,0.0,0
0.0,1152000.0,2304000.0,675000.0,224200.0,310354.6680815354,0.0,0.5,0.5773502691896257,-675000.0,927800.0,2353243.2130997423,0.9607421875,0.9607421875,-1382399.9999999998,144139.99999999997,-0.3999999999999999,2
0.0,19500.0,39000.0,0.0,351562.5,406598.408291277,0.0,1.5,1.7320508075688772,0.0,-332062.5,430260.98547858134,1.0,1.0,7800.000000000002,-275625.0,-1.1999999999999997,2
0.0,10882500.0,19482861.4855895,0.0,1057500.0,1221430.1726528073,5.0,2.5,2.886751345948129,0.0,9825000.0,18741293.9788052,0.948,0.6694674220963173,-5059000.0,-852999.9999999999,1.9999999999999996,0
30000.0,7500.0,15000.0,3206000.0,1747000.0,1384626.5441145734,2.0,1.75,0.5,-3176000.0,-1739500.0,1374130.8768333048,-105.86666666666666,-105.86666666666666,9000.0,1041599.9999999998,0.09999999999999998,4
58570000.0,53495000.0,4652529.777801893,49690000.0,45010625.0,3865039.3567422656,3.0,2.5,0.5773502691896257,8880000.0,8484375.0,970302.8200000245,0.1516134539866826,0.15847918378716877,2650000.0,2390050.0,0.3999999999999999,0
50000.0,50000.0,0.0,790000.0,790000.0,0.0,1.0,1.0,0.0,-740000.0,-740000.0,0.0,-14.8,-14.8,0.0,0.0,0.0,4
100000.0,100000.0,0.0,790000.0,790000.0,0.0,3.0,3.0,0.0,-690000.0,-690000.0,0.0,-6.9,-6.9,0.0,0.0,0.0,4
35000.0,23500.0,8962.8864398325,50100.0,36675.0,10564.208441714884,1.0,1.0,0.0,-15100.0,-13175.0,5069.763308084511,-0.43142857142857144,-0.6298870573870574,6199.999999999998,8069.999999999998,0.0,4
110000.0,110000.0,0.0,47000.0,43000.0,4618.8021535170055,1.0,1.0,0.0,63000.0,67000.0,4618.8021535170055,0.5727272727272728,0.6090909090909091,0.0,3199.999999999999,0.0,0
0.0,0.0,0.0,120000.0,101500.0,25066.57801402763,0.0,0.0,0.0,-120000.0,-101500.0,25066.57801402763,,,0.0,15999.999999999995,0.0,4
1200000.0,1050000.0,191485.42155126762,1531000.0,997500.0,474719.21525606414,2.0,2.0,0.0,-331000.0,52500.0,297475.48918636417,-0.2758333333333333,0.0895625,-19999.99999999999,59799.999999999985,0.0,1
20000.0,1157000.0,2300685.9846576196,75000.0,29296.875,32560.41560027298,0.0,1.0,1.1547005383792515,-55000.0,1127703.125,2310932.020995871,-2.75,-0.87652587890625,466799.99999999994,15468.75,-0.7999999999999998,2
58570000.0,53495000.0,4652529.777801893,49690000.0,45010625.0,3865039.3567422656,2.0,1.5,1.0,8880000.0,8484375.0,970302.8200000245,0.1516134539866826,0.15847918378716877,2650000.0,2390050.0,0.5999999999999999,0
2870000.0,1310000.0,1526368.2386632657,2009000.0,855250.0,1017188.0766767439,4.0,2.25,2.0615528128088303,861000.0,454750.0,526591.1601992574,0.3,0.3521097046413502,1098000.0,743900.0000000001,1.5,0
50000.0,50000.0,0.0,370000.0,370000.0,0.0,1.0,1.0,0.0,-320000.0,-320000.0,0.0,-6.4,-6.4,0.0,0.0,0.0,4
0.0,0.0,0.0,380000.0,273875.0,88961.01674329043,1.0,1.0,0.0,-380000.0,-273875.0,88961.01674329043,,,0.0,68849.99999999999,0.0,4
0.0,0.0,0.0,56250.0,42187.5,53855.27481129402,1.0,1.0,0.0,-56250.0,-42187.5,53855.27481129402,,,0.0,28124.999999999996,0.0,2
0.0,1462500.0,1689859.4616121189,0.0,1107000.0,1281291.5359121046,7.0,5.75,0.9574271077563381,0.0,355500.0,436844.3658787418,0.18526315789473685,0.24163157894736842,-1184999.9999999998,-863999.9999999998,0.6999999999999997,0
29600000.0,26170000.0,3611592.4465531823,25735600.0,22655200.0,3236845.8350684545,1.0,0.25,0.5,3864400.0,3514800.0,393022.84920854156,0.13055405405405404,0.13479072240501427,2515999.999999999,2285159.9999999995,0.29999999999999993,0
600000.0,300000.0,346410.16151377547,498000.0,432000.0,76210.2355330306,1.0,1.0,0.0,102000.0,-132000.0,270199.9259807449,0.17,0.17,239999.99999999994,52800.0,0.0,2
200000.0,237500.0,110867.78913041725,838000.0,806250.0,170697.34424803843,3.0,4.5,3.0,-638000.0,-568750.0,77163.78684331142,-3.19,-2.6508333333333334,-54999.99999999999,-46899.99999999998,-1.7999999999999998,4
